id,income,expenses,monthly_savings,savings_rate_pct,expense_ratio_pct,risk_score,max_score,risk_category,horizon_years,recommended_category
1,171658.46,97356.6,74301.86,43.3,56.7,22,40,Conservative,18,Conservative Hybrid / Debt Funds
2,31176.87,12467.38,18709.49,60.0,40.0,25,40,Moderate,19,Balanced Advantage / Index Funds
3,109066.38,46161.93,62904.45,57.7,42.3,28,40,Aggressive,18,Multi-Cap & Growth Equity Funds
4,35588.89,26394.89,9194.0,25.8,74.2,32,40,Aggressive,20,Multi-Cap & Growth Equity Funds
5,59748.25,26819.3,32928.95,55.1,44.9,26,40,Aggressive,3,Large-Cap Equity Funds
6,86899.65,66602.28,20297.37,23.4,76.6,26,40,Aggressive,16,Multi-Cap & Growth Equity Funds
7,112783.23,67772.9,45010.33,39.9,60.1,24,40,Moderate,9,Balanced Advantage / Index Funds
8,170503.77,93010.7,77493.07,45.4,54.6,22,40,Conservative,16,Conservative Hybrid / Debt Funds
9,91869.98,59916.86,31953.12,34.8,65.2,20,40,Conservative,14,Conservative Hybrid / Debt Funds
10,125362.67,44708.68,80653.99,64.3,35.7,28,40,Aggressive,6,Multi-Cap & Growth Equity Funds
11,172495.67,125882.42,46613.25,27.0,73.0,30,40,Aggressive,20,Multi-Cap & Growth Equity Funds
12,29959.65,11595.62,18364.03,61.3,38.7,23,40,Conservative,6,Conservative Hybrid / Debt Funds
13,171831.8,118143.9,53687.9,31.2,68.8,22,40,Conservative,7,Conservative Hybrid / Debt Funds
14,178896.44,108463.87,70432.57,39.4,60.6,21,40,Conservative,3,Liquid Funds & Fixed Deposits
15,77880.39,56816.64,21063.75,27.0,73.0,24,40,Moderate,17,Balanced Advantage / Index Funds
16,144648.78,76854.18,67794.6,46.9,53.1,22,40,Conservative,7,Conservative Hybrid / Debt Funds
17,95558.41,43622.87,51935.54,54.3,45.7,18,40,Conservative,12,Conservative Hybrid / Debt Funds
18,52699.74,36533.38,16166.36,30.7,69.3,21,40,Conservative,1,Liquid Funds & Fixed Deposits
19,33879.98,29488.83,4391.15,13.0,87.0,19,40,Conservative,15,Conservative Hybrid / Debt Funds
20,117851.73,79871.5,37980.23,32.2,67.8,22,40,Conservative,12,Conservative Hybrid / Debt Funds
21,177847.91,81301.92,96545.99,54.3,45.7,28,40,Aggressive,1,Large-Cap Equity Funds
22,153471.2,58855.82,94615.38,61.7,38.3,29,40,Aggressive,15,Multi-Cap & Growth Equity Funds
23,117368.74,91174.55,26194.19,22.3,77.7,30,40,Aggressive,5,Multi-Cap & Growth Equity Funds
24,145483.6,59409.71,86073.89,59.2,40.8,21,40,Conservative,8,Conservative Hybrid / Debt Funds
25,72098.18,63831.99,8266.19,11.5,88.5,33,40,Aggressive,7,Multi-Cap & Growth Equity Funds
26,162840.79,75138.6,87702.19,53.9,46.1,21,40,Conservative,14,Conservative Hybrid / Debt Funds
27,145429.76,122650.3,22779.46,15.7,84.3,22,40,Conservative,12,Conservative Hybrid / Debt Funds
28,45834.57,26920.34,18914.23,41.3,58.7,21,40,Conservative,11,Conservative Hybrid / Debt Funds
29,90473.3,32565.42,57907.88,64.0,36.0,17,40,Conservative,20,Conservative Hybrid / Debt Funds
30,164943.79,74200.5,90743.29,55.0,45.0,29,40,Aggressive,14,Multi-Cap & Growth Equity Funds
31,29204.24,21275.67,7928.57,27.1,72.9,17,40,Conservative,3,Liquid Funds & Fixed Deposits
