"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sumeer H.; Aparna; Rishitha T.R.; Vincent R.R.; Nagaraja S.R.; Kannadaguli P.","Sumeer, Hansika (60630584300); Aparna (60630766000); Rishitha, T.R. (58671170200); Vincent, Robin Rohit (59828672900); Nagaraja, S.R. (58081452100); Kannadaguli, Prashanth (56656540700)","60630584300; 60630766000; 58671170200; 59828672900; 58081452100; 56656540700","An AI-Driven Financial Advisory System with Dynamic Risk Profiling","2026","CCIC 2026 - Contemporary Computing Innovations Conference 2026","","","","","","","0","10.1109/CCIC68129.2026.11486171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105038714822&doi=10.1109%2fCCIC68129.2026.11486171&partnerID=40&md5=66e2b2f0a0515c0053836d0335cd0528","In this paper the ideation and implementation of a machine intelligence-based financial advisory system that integrates machine-learning-derived risk profiling with the Modern Portfolio Theory (MPT) are described. The proposed platform targets the democratization of individualized wealth management solutions to retail investors by inputting demographic financial and behavioral data into one multifaceted risk-assessment machine. The issues of data scarcity and preservation of privacy can be resolved because a random forest is trained on a statistically significant synthetic dataset. The system consists of a conversational AI interface which can interact with users in a dynamic way, an explainable ML model that can give featureimportance insights in an understandable way and an MPTbased portfolio optimizer which can produce efficient asset allocations based on the risk profile of the user given by classification. The system has the capacity to identify investor risk profile with a high level of precision on different occasions. Moreover, the historic backtesting provides financial justification of the portfolios so formed and the modular enterprise level architecture will keep the system scalable, interoperable, and in line with security and regulatory regulations, therefore generating a nextgeneration system to deliver wealth management that is inspired by smart behavior and easy accessibility.  © 2026 IEEE.","FinTech; Machine Learning; Portfolio Optimization; Risk Profiling; Robo-advisor; Synthetic Data","Computation theory; Decentralized finance; Financial data processing; Information management; Information systems; Investments; Laws and legislation; Learning systems; Machine learning; Risk assessment; Risk management; Advisory systems; Dynamic risks; Machine intelligence; Machine-learning; Portfolio optimization; Risk profile; Risk profiling; Robo-advisor; Synthetic data; Wealth management; FinTech","Conference paper","Final","","Scopus","2-s2.0-105038714822"
"Ghosn F.","Ghosn, Fadi (59189208700)","59189208700","Artificial intelligence in investment and wealth management","2025","AI's Transformative Impact on Finance, Auditing, and Investment","","","","1","42","41","0","10.4018/979-8-3373-0129-7.ch001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009767942&doi=10.4018%2f979-8-3373-0129-7.ch001&partnerID=40&md5=a7429f96ce90317b1a89880d6ea09717","This chapter examines the transformative role of artificial intelligence (AI) in investment and wealth management, emphasizing its impact on decision-making, portfolio management, financial service personalization, and sustainable finance. It contrasts traditional investment methods with AI-driven strategies such as algorithmic trading, robo-advisors, and predictive analytics. The chapter explores AI's role in portfolio diversification, risk management, and tailored investment solutions, highlighting advancements in machine learning and natural language processing. AI-powered sentiment analysis in market forecasting is also analyzed, along with ethical and regulatory challenges like algorithmic bias, data privacy, and compliance. The systematic discussion concludes with future trends, including quantum computing and blockchain, and the challenges of integrating AI into legacy financial systems. © 2025, IGI Global Scientific Publishing. All rights reserved.","","Algorithmic languages; Artificial intelligence; Commerce; Data privacy; Decentralized finance; Decision making; Financial data processing; Financial markets; Investments; Learning algorithms; Learning systems; Legacy systems; Natural language processing systems; Risk management; Algorithmic trading; Decisions makings; Financial service; Investment management; Machine-learning; Portfolio diversification; Portfolio managements; Risks management; Service personalization; Wealth management; Predictive analytics","Book chapter","Final","","Scopus","2-s2.0-105009767942"
"Ali H.; Zafar M.B.; Aysan A.F.","Ali, Hassnian (57220568957); Zafar, Muhammad Bilal (57224669951); Aysan, Ahmet Faruk (18433415200)","57220568957; 57224669951; 18433415200","Generative AI in finance: Replicability, methodological contingencies, and future research directions","2025","Finance Research Letters","86","","108797","","","","13","10.1016/j.frl.2025.108797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022836690&doi=10.1016%2fj.frl.2025.108797&partnerID=40&md5=09e50e03c115637743b51cbb16620f77","Generative Artificial Intelligence (AI) is reshaping finance by transforming decision-making, risk management, and stakeholder engagement. This study provides a theory-informed synthesis of 84 peer-reviewed articles (2022-2025) using PRISMA-based screening, bibliometric analysis, and Structural Topic Modeling (STM). Six themes emerge: financial decision-making, ESG analytics, stock market prediction, advanced modeling for fraud detection and explainable AI, ChatGPT in accounting and education, and sentiment analysis with domain-specific LLMs. Findings show that generative AI enhances predictive capabilities and ESG assessments but raises issues of bias, transparency, and regulation. The review outlines future research priorities around interpretability, multimodal data, and governance frameworks.  © 2025 The Author(s).","Bibliometric; Finance; Generative AI; Structural topic modeling; Systematic literature review","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105022836690"
"Singh P.","Singh, Partap (58574770500)","58574770500","AI and financial risk management revolutionizing risk assessment and mitigation","2025","Artificial Intelligence for Financial Risk Management and Analysis","","","","373","404","31","6","10.4018/979-8-3373-1200-2.ch019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004405193&doi=10.4018%2f979-8-3373-1200-2.ch019&partnerID=40&md5=dca3f8d45b87c0b9319bd0e9be2557a7","Artificial Intelligence (AI) has emerged as a transformative force in financial risk management, offering sophisticated tools to identify, quantify, and mitigate risks in an increasingly volatile financial environment. This paper explores how AI methodologies, including machine learning, deep learning, natural language processing (NLP), and reinforcement learning, are revolutionizing risk management practices across credit, market, liquidity, and operational domains. By analyzing practical applications, case studies, and AI-driven strategies, this study highlights the benefits of improved accuracy, speed, and adaptability in risk modeling and decision-making. Additionally, the paper addresses challenges such as explain-ability, regulatory compliance, and ethical considerations, while outlining future trends that could reshape the risk management landscape. © 2025 by IGI Global Scientific Publishing.","","Deep learning; Investments; Reinforcement learning; Risk perception; Taxation; Credit markets; Financial environments; Financial risk management; Language processing; Machine-learning; Natural languages; Reinforcement learnings; Risk management practices; Risk mitigation; Risks assessments; Risk management","Book chapter","Final","","Scopus","2-s2.0-105004405193"
"Ablazov N.; Qodirov A.; Ibragimova Z.; Akhmedov K.","Ablazov, Nurillo (59260865200); Qodirov, Azamat (57215926312); Ibragimova, Zarema (59261405000); Akhmedov, Khasan (59261772400)","59260865200; 57215926312; 59261405000; 59261772400","Robo-Advisors and Investment Management: Analyzing the Role of AI in Personal Finance","2024","2024 International Conference on Knowledge Engineering and Communication Systems, ICKECS 2024","","","","","","","10","10.1109/ICKECS61492.2024.10617229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201325015&doi=10.1109%2fICKECS61492.2024.10617229&partnerID=40&md5=0af789da4ed33f99c66559f4fdd9d150","In the rapidly evolving landscape of personal finance, the advent of Robo-Advisors has marked a significant leap towards democratizing investment management through the power of Artificial Intelligence (AI). This paper delves into the transformative role of AI in personal finance, focusing on how Robo-Advisors are reshaping investment strategies, risk assessment, and portfolio management. Through a comprehensive analysis, we examine the underlying algorithms that enable Robo-Advisors to provide personalized financial advice and manage assets with minimal human intervention. Our investigation includes a review of current literature to highlight advancements in AI technologies and their application in financial decision-making processes. Additionally, we propose a novel framework that enhances the capabilities of Robo-Advisors by incorporating advanced machine learning techniques and predictive analytics. The implementation of this framework is detailed, showcasing its potential to offer more accurate and tailored investment solutions. Empirical results obtained from real-world financial datasets demonstrate the effectiveness of our approach in improving investment outcomes. By analyzing the performance of AI-driven Robo-Advisors against traditional human advisors, this study contributes valuable insights into the benefits and challenges of integrating AI into personal finance. Our findings underscore the potential for AI to revolutionize investment management, making it more accessible, efficient, and aligned with individual financial goals.  © 2024 IEEE.","Artificial Intelligence; Investment Management; Machine Learning; Personal Finance; Robo-Advisors","Asset management; Decision making; Comprehensive analysis; Human intervention; Investment management; Investment strategy; Machine-learning; Personal finance; Portfolio managements; Power; Risks assessments; Robo-advisor; Decentralized finance","Conference paper","Final","","Scopus","2-s2.0-85201325015"
"Mali N.; Devmane V.","Mali, Nilesh (60023463400); Devmane, Vidyullata (57202981838)","60023463400; 57202981838","A Systematic Exploration of AI-Powered Personalized Investment Strategies","2025","Proceedings of the 2025 3rd International Conference on Inventive Computing and Informatics, ICICI 2025","","","","404","409","5","3","10.1109/ICICI65870.2025.11069526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012204067&doi=10.1109%2fICICI65870.2025.11069526&partnerID=40&md5=fa5f255506351c8ebf09eebb22a1d71b","The rapid integration of artificial intelligence (AI) into financial services has significantly enhanced the personalization of investment strategies. Techniques such as machine learning (ML), deep learning (DL), and reinforcement learning (RL) enable systems to analyze user behavior and adapt to changing financial conditions. However, the handling of sensitive financial data, including spending patterns and income history, raises critical concerns about data privacy and user trust. This survey systematically investigates AI-powered personalized financial investment strategies, with the primary objective of identifying and analyzing hybrid AI techniques that balance personalization accuracy with data privacy. It emphasizes how integrating supervised, unsupervised, and reinforcement learning with privacy-preserving technologies can lead to more secure and adaptable financial advisory systems. To safeguard user data, we examine privacy preserving technologies including federated learning, differential privacy, homomorphic encryption, and secure multi-party computation. The study also outlines commonly used datasets, evaluation metrics, current challenges, and open research problems. By emphasizing the synergy between advanced AI models and robust privacy techniques, this work underscores the necessity of developing intelligent, secure, and trustworthy financial advisory systems. The findings serve as a foundation for future innovations aimed at responsible and user-centric AI deployment in the financial domain. © 2025 IEEE.","Artificial Intelligence; Deep Learning; Federated Learning; Financial Technology; Machine Learning; Privacy Preservation; Reinforcement Learning","Behavioral research; Decentralized finance; Differential privacy; Economics; Federated learning; Investments; Learning systems; Privacy-preserving techniques; Strategic planning; Advisory systems; Deep learning; Financial technology; Investment strategy; Machine-learning; Personalizations; Privacy preservation; Privacy preserving; Reinforcement learnings; Systematic exploration; Deep learning","Conference paper","Final","","Scopus","2-s2.0-105012204067"
"Dongre S.; Agone B.; More A.; Mengawade A.; Deshmukh A.; Badgujar A.","Dongre, Shital (57215095931); Agone, Bhavesh (60560067400); More, Aryan (60559621100); Mengawade, Aryan (60559769500); Deshmukh, Atharva (59179880400); Badgujar, Atharva (60560218800)","57215095931; 60560067400; 60559621100; 60559769500; 59179880400; 60560218800","WealthPilot-Your AI-Powered Guide to a Smarter Investment Journey","2026","17th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2026","1","","","2389","2396","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105047259647&partnerID=40&md5=5891b4cde28edacfc737179ba66bcb43","This paper presents WealthPilot, an AI-driven Investment Advisory Web Application designed to provide personalized, goal-oriented financial guidance for individual investors. The system assists users in identifying suitable mutual funds, analyzing stocks, estimating future returns, and optimizing their investment portfolios based on their risk profile, investment horizon, and financial objectives. The platform integrates machine learning-based recommendation models, financial metric evaluation, and modern portfolio optimization techniques to generate actionable and easy-to-interpret insights. The proposed system is built around several key components: a dynamic user profiling and risk-assessment module; a mutual fund recommendation engine powered by K-Nearest Neighbors (KNN), Random Forest classification, and matrix-similarity techniques; a stock analysis module leveraging technical and fundamental indicators collected via reliable financial APIs; and a portfolio optimization engine rooted in Modern Portfolio Theory (MPT). Interactive visualizations built using Plotly enable users to interpret fund rankings, stock performance, and optimized portfolio allocations intuitively. The application is developed using a modular architecture with Streamlit as the primary user interface layer, ensuring rapid prototyping, accessibility, and seamless interaction. Furthermore, a tax-optimization module and growth-projection simulator help users evaluate long-term outcomes of SIP and lump-sum investments under various conditions. Extensive testing—including unit, integration, performance, and usability evaluations—confirms the system’s accuracy, reliability, and responsiveness. By combining practical financial modeling, machine learning techniques, and interactive visualization, WealthPilot demonstrates a scalable and user-centric approach to democratizing investment advisory solutions. Future enhancements include scalable cloud deployment, integration of real-time market alerts, expanded datasets, and multilingual conversational assistance for broader accessibility. © Grenze Scientific Society, 2026.","Agile methodology; AI-powered investment advisory; data aggregation; financial literacy; GDPR compliance; Groq API; interactive visualizations; LLaMA 3; mutual fund analysis; natural language processing; personalized financial insights; portfolio optimization; risk assessment; stock screening; user profile management","Application programming interfaces (API); Computation theory; Data mining; Data visualization; Decentralized finance; Electronic trading; Engines; Financial markets; Flow visualization; Integration; Integration testing; Investments; Learning algorithms; Learning systems; Machine learning; Risk perception; Taxation; User interfaces; Agile Methodologies; AI-powered investment advisory; Data aggregation; Financial literacy; GDPR compliance; Groq API; Interactive visualizations; Language processing; LLaMA 3; Mutual fund analyze; Mutual funds; Natural language processing; Natural languages; Personalized financial insight; Portfolio optimization; Risks assessments; Stock screening; User profile management; Natural language processing systems","Conference paper","Final","","Scopus","2-s2.0-105047259647"
"Shah J.M.S.; Aggarwal S.; Dhawan P.","Shah, Jatinder Mohan Singh (60628081000); Aggarwal, Shalini (57200324222); Dhawan, Prerna (59009019400)","60628081000; 57200324222; 59009019400","Artificial Intelligence in Financial Sector Risk Management: Bibliometric Analysis (2010–2025)","2026","Lecture Notes in Networks and Systems","1937 LNNS","","","369","380","11","0","10.1007/978-3-032-23577-0_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105038514788&doi=10.1007%2f978-3-032-23577-0_28&partnerID=40&md5=19aa839916aab2e3ae31e47249e06a60","Artificial intelligence (AI) has emerged as a significant transformation technology in financial risk management, to support institutions in assessing, forecasting, and mitigating multiple forms of risks such as credit, market, operational, and model risk. This paper advances an extensive bibliometric investigation of AI applications in risk management in the financial sector around the world (2010–2025), utilizing 308 papers collected from Scopus. The study employs Bibliometrix/Biblioshiny to map publication trends, key authors, institutions, and the thematic structure illustrating the intellectual progression of the field. From the analysis, India, China and USA rank strongly in the bibliometric analysis, and a thematic evolution is evident moving from purely conceptual AI research to applications and interdisciplinary contexts. The results highlight the importance of AI in strengthening financial resilience and are socially conscientious with the United Nations Sustainable Development Goals (SDG 9). The paper concludes with a future agenda, identifying current research gaps and future research opportunities on themes with regulatory compliance, ESG incorporation, and data ethics. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Artificial intelligence; Bibliometric analysis; Financial sector; Fintech; Machine learning; Risk management","Artificial intelligence; FinTech; Learning systems; Regulatory compliance; Risk analysis; Risk assessment; Sustainable development; Bibliometrics analysis; Credit markets; Credit model; Credit risks; Financial risk management; Financial sectors; Machine-learning; Market risks; Risks management; Transformation technologies; Risk management","Conference paper","Final","","Scopus","2-s2.0-105038514788"
"Elalkaoui K.; Moqqaddem S.; Kerroum M.A.","Elalkaoui, Karim (60745938300); Moqqaddem, Safaa (36992225500); Kerroum, Mounir Ait (25641355600)","60745938300; 36992225500; 25641355600","A Comprehensive Study on Integration of Big Data and AI in Financial Decision-Making","2026","Journal of ICT Standardization","14","2","","199","222","23","0","10.13052/jicts2245-800X.1423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105044965577&doi=10.13052%2fjicts2245-800X.1423&partnerID=40&md5=fa3aaa67428e616b47189bba3cd0a655","The rapid proliferation of large-scale financial data, coupled with advancements in Artificial Intelligence (AI), has significantly transformed modern financial decision-making. This paper presents a comprehensive state-of-the-art review of AI-driven approaches supported by Big Data infrastructure in the financial domain. We analyse recent academic contributions (2023–2025) across machine learning(ML), deep learning and hybrid ensemble techniques applied to forecasting, portfolio optimisation, risk assessment and fraud detection. Emerging data architectures such as streaming frameworks and lakehouse platforms are assessed in terms of their ability to support real-time analytics and large-scale model deployment. We highlight the transition towards multimodal and attention-based models that integrate structured and unstructured data sources, and identify key challenges including concept drift, explainability, privacy and robustness. A detailed case study involving a GPU-accelerated hybrid deep learning and ensemble model for BTC–USD price prediction demonstrates practical benefits and current limitations: the hybrid model achieved an RMSE of 2656.69, a MAPE of 2.14%, and an R2 of 0.9626 on the test set. Although the absolute RMSE reflects the inherent volatility of the asset class, the low MAPE (2.14%) and high R2 confirm the model’s predictive efficacy during regime shifts, highlighting the necessity for future integration of macro-scenarios. © 2026 River Publishers.","Artificial intelligence (AI); big data; BTC-USD prediction; concept drift; deep learning; ensemble learning; explainability; financial decision-making; financial forecasting; fraud detection; hybrid models; lakehouse architecture; machine learning (ML); multimodal models; privacy; real-time analytics; risk assessment; robustness; streaming frameworks","Behavioral research; Big data; Data integration; Decision making; Deep learning; Electronic trading; Financial markets; Forecasting; Interactive computer systems; Investments; Learning systems; Artificial intelligence; BTC-USD prediction; Concept drifts; Decisions makings; Deep learning; Ensemble learning; Explainability; Financial decision-making; Financial decisions; Financial forecasting; Fraud detection; Hybrid model; Lakehouse architecture; Machine learning; Machine-learning; Multimodal models; Privacy; Real-time analytics; Risks assessments; Robustness; Streaming framework; Robustness (control systems)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105044965577"
"Anwar S.; Olaivar H.; Rony L.","Anwar, Shaista (57210117064); Olaivar, Harley (60497972700); Rony, Linda (60497655600)","57210117064; 60497972700; 60497655600","Bringing Explainability to Robo-Advisors: A Hybrid AI-Finance Decision Support System for Retail Portfolio Management","2025","2025 International Conference on Computational Intelligence and Knowledge Economy, ICCIKE 2025","","","","597","602","5","0","10.1109/ICCIKE67021.2025.11318186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032704408&doi=10.1109%2fICCIKE67021.2025.11318186&partnerID=40&md5=04445c854991c4427cc1a22b7bf01e85","This study introduces an explainable AI-driven decision support system that enhances trust and transparency in robo-advisory portfolio recommendations for retail investors. Leveraging a synthetic dataset comprising diverse investor profiles characterized by income, risk tolerance, investment goals, and horizons the model categorizes users into risk segments and maps them to asset allocation strategies using historical return data from three ETFs: SPY, QQQ, and AGG. The system integrates SHAP (Shapley Additive Explanations) and decision trees to provide human-interpretable justifications for each recommendation. Results confirm that portfolio allocations align with established investment theory, with high risk profiles yielding higher returns alongside greater volatility. Statistical validation (p<0.001) supports a significant positive relationship between risk score and portfolio performance. The incorporation of explainability techniques improved clarity and user trust, demonstrating the practical value of transparent AI in digital wealth management and regulatory compliance. © 2025 IEEE.","Algorithmic Transparency; Decision Support Systems; Explainable AI; Portfolio Management; Risk Tolerance; Robo-advisors","Computation theory; Decentralized finance; Decision trees; Financial data processing; Financial markets; Investments; Regulatory compliance; Risk management; Transparency; Algorithmic transparency; Algorithmics; Asset allocation; Decision supports; Explainable AI; Portfolio managements; Risk tolerance; Robo-advisor; Support systems; Synthetic datasets; Decision support systems","Conference paper","Final","","Scopus","2-s2.0-105032704408"
